"attendance_id","employeeid","date","login_time","logout_time"
1,431,"2022-06-23","10:00:00","20:00:00"
2,1,"2022-07-22","10:30:00","20:00:00"
3,2789,"2022-07-22","10:30:00","20:30:00"
4,18,"2022-07-22","10:30:00","20:30:00"
5,115,"2022-07-22","10:30:00","20:30:00"
6,49776,"2022-07-22","11:30:00","21:30:00"
7,45698,"2022-07-22","11:00:00","21:30:00"
8,996,"2022-07-22","11:00:00","21:00:00"
9,47053,"2022-07-22","11:00:00","21:00:00"
10,2175,"2022-07-22","11:00:00","21:00:00"
11,2156,"2022-07-22","10:00:00","21:00:00"
12,46913,"2022-07-22","10:15:00","21:00:00"
13,46163,"2022-07-22","10:15:00","20:30:00"
14,45986,"2022-07-22","10:15:00","20:25:00"
15,46161,"2022-07-22","10:15:00","20:25:00"
16,46199,"2022-07-22","11:15:00","20:25:00"
17,45286,"2022-07-22","11:10:00","20:15:00"
18,46459,"2022-07-22","11:20:00","21:30:00"
19,45491,"2022-07-22","10:20:00","21:30:00"
20,658,"2022-07-22","11:10:00","21:30:00"
21,75,"2022-07-22","10:00:00","20:00:00"
22,13,"2022-07-22","10:15:00","20:30:00"
23,63,"2022-07-22","10:20:00","21:30:00"
24,74,"2022-07-22","11:10:00","21:30:00"
25,96,"2022-07-22","10:00:00","20:00:00"
26,87,"2022-07-22","10:15:00","20:30:00"
27,163,"2022-07-22","11:10:00","21:30:00"
28,2587,"2022-07-22","11:10:00","21:30:00"
29,86,"2022-07-22","10:00:00","20:00:00"
30,369,"2022-07-22","10:15:00","20:30:00"
31,566,"2022-07-22","10:20:00","21:30:00"
32,644,"2022-07-22","10:20:00","21:30:00"
33,44963,"2022-07-22","10:00:00","20:00:00"
34,50,"2022-07-22","10:15:00","20:30:00"
35,4,"2022-07-22","10:20:00","21:30:00"
36,64,"2022-07-22","11:10:00","21:30:00"
37,112,"2022-07-22","10:00:00","20:00:00"
38,114,"2022-07-22","10:15:00","20:30:00"
39,118,"2022-07-22","10:20:00","21:30:00"
40,97,"2022-07-22","11:10:00","21:30:00"
41,68,"2022-07-22","10:00:00","20:00:00"
42,326,"2022-07-22","10:15:00","20:30:00"
43,356,"2022-07-22","10:20:00","21:30:00"
44,433,"2022-07-22","11:10:00","21:30:00"
45,436,"2022-07-22","10:00:00","20:00:00"
46,661,"2022-07-22","10:15:00","20:30:00"
47,2173,"2022-07-22","10:20:00","21:30:00"
48,2006,"2022-07-22","11:10:00","21:30:00"
49,1805,"2022-07-22","10:00:00","20:00:00"
50,101,"2022-07-22","10:15:00","20:30:00"
